date,warehouse_id,product_id,units_demanded,units_fulfilled,stockout_flag,ending_inventory
2024-05-05,WH-EAST,PRD-0020,10,0,1,0
2024-05-06,WH-EAST,PRD-0020,21,0,1,0
2024-05-07,WH-EAST,PRD-0020,16,0,1,0
2024-05-08,WH-EAST,PRD-0020,24,0,1,0
2024-05-09,WH-EAST,PRD-0020,21,0,1,0
2024-05-10,WH-EAST,PRD-0020,27,0,1,0
2024-05-11,WH-EAST,PRD-0020,21,0,1,0
2024-05-12,WH-EAST,PRD-0020,8,8,0,478
2024-05-13,WH-EAST,PRD-0020,16,16,0,462
2024-05-14,WH-EAST,PRD-0020,10,10,0,452
2024-05-15,WH-EAST,PRD-0020,14,14,0,438
2024-05-16,WH-EAST,PRD-0020,26,26,0,412
2024-05-17,WH-EAST,PRD-0020,20,20,0,392
2024-05-18,WH-EAST,PRD-0020,13,13,0,379
2024-05-19,WH-EAST,PRD-0020,11,11,0,368
2024-05-20,WH-EAST,PRD-0020,17,17,0,351
2024-05-21,WH-EAST,PRD-0020,10,10,0,341
2024-05-22,WH-EAST,PRD-0020,13,13,0,328
2024-05-23,WH-EAST,PRD-0020,19,19,0,309
2024-05-24,WH-EAST,PRD-0020,23,23,0,286
2024-05-25,WH-EAST,PRD-0020,20,20,0,266
2024-05-26,WH-EAST,PRD-0020,3,3,0,263
2024-05-27,WH-EAST,PRD-0020,18,18,0,245
2024-05-28,WH-EAST,PRD-0020,17,17,0,228
2024-05-29,WH-EAST,PRD-0020,19,19,0,209
2024-05-30,WH-EAST,PRD-0020,26,26,0,183
2024-05-31,WH-EAST,PRD-0020,5,5,0,178
2024-06-01,WH-EAST,PRD-0020,13,13,0,165
2024-06-02,WH-EAST,PRD-0020,20,20,0,145
2024-06-03,WH-EAST,PRD-0020,7,7,0,138
2024-06-04,WH-EAST,PRD-0020,25,25,0,113
2024-06-05,WH-EAST,PRD-0020,13,13,0,100
2024-06-06,WH-EAST,PRD-0020,21,21,0,79
2024-06-07,WH-EAST,PRD-0020,23,23,0,56
2024-06-08,WH-EAST,PRD-0020,18,18,0,38
2024-06-09,WH-EAST,PRD-0020,18,18,0,20
2024-06-10,WH-EAST,PRD-0020,18,18,0,2
2024-06-11,WH-EAST,PRD-0020,12,2,1,0
2024-06-12,WH-EAST,PRD-0020,16,0,1,0
2024-06-13,WH-EAST,PRD-0020,16,0,1,0
2024-06-14,WH-EAST,PRD-0020,19,0,1,0
2024-06-15,WH-EAST,PRD-0020,23,0,1,0
2024-06-16,WH-EAST,PRD-0020,11,0,1,0
2024-06-17,WH-EAST,PRD-0020,16,0,1,0
2024-06-18,WH-EAST,PRD-0020,25,0,1,0
2024-06-19,WH-EAST,PRD-0020,12,0,1,0
2024-06-20,WH-EAST,PRD-0020,12,0,1,0
2024-06-21,WH-EAST,PRD-0020,18,0,1,0
2024-06-22,WH-EAST,PRD-0020,22,0,1,0
2024-06-23,WH-EAST,PRD-0020,17,0,1,0
2024-06-24,WH-EAST,PRD-0020,24,0,1,0
2024-06-25,WH-EAST,PRD-0020,22,0,1,0
2024-06-26,WH-EAST,PRD-0020,22,0,1,0
2024-06-27,WH-EAST,PRD-0020,20,0,1,0
2024-06-28,WH-EAST,PRD-0020,30,0,1,0
2024-06-29,WH-EAST,PRD-0020,16,0,1,0
2024-06-30,WH-EAST,PRD-0020,5,0,1,0
2024-07-01,WH-EAST,PRD-0020,26,26,0,460
2024-07-02,WH-EAST,PRD-0020,14,14,0,446
2024-07-03,WH-EAST,PRD-0020,17,17,0,429
2024-07-04,WH-EAST,PRD-0020,24,24,0,405
2024-07-05,WH-EAST,PRD-0020,7,7,0,398
2024-07-06,WH-EAST,PRD-0020,9,9,0,389
2024-07-07,WH-EAST,PRD-0020,7,7,0,382
2024-07-08,WH-EAST,PRD-0020,12,12,0,370
2024-07-09,WH-EAST,PRD-0020,19,19,0,351
2024-07-10,WH-EAST,PRD-0020,20,20,0,331
2024-07-11,WH-EAST,PRD-0020,18,18,0,313
2024-07-12,WH-EAST,PRD-0020,8,8,0,305
2024-07-13,WH-EAST,PRD-0020,3,3,0,302
2024-07-14,WH-EAST,PRD-0020,17,17,0,285
2024-07-15,WH-EAST,PRD-0020,14,14,0,271
2024-07-16,WH-EAST,PRD-0020,19,19,0,252
2024-07-17,WH-EAST,PRD-0020,21,21,0,231
2024-07-18,WH-EAST,PRD-0020,18,18,0,213
2024-07-19,WH-EAST,PRD-0020,21,21,0,192
2024-07-20,WH-EAST,PRD-0020,18,18,0,174
2024-07-21,WH-EAST,PRD-0020,20,20,0,154
2024-07-22,WH-EAST,PRD-0020,13,13,0,141
2024-07-23,WH-EAST,PRD-0020,16,16,0,125
2024-07-24,WH-EAST,PRD-0020,21,21,0,104
2024-07-25,WH-EAST,PRD-0020,14,14,0,90
2024-07-26,WH-EAST,PRD-0020,20,20,0,70
2024-07-27,WH-EAST,PRD-0020,15,15,0,55
2024-07-28,WH-EAST,PRD-0020,16,16,0,39
2024-07-29,WH-EAST,PRD-0020,22,22,0,17
2024-07-30,WH-EAST,PRD-0020,5,5,0,12
2024-07-31,WH-EAST,PRD-0020,9,9,0,3
2024-08-01,WH-EAST,PRD-0020,13,3,1,0
2024-08-02,WH-EAST,PRD-0020,8,0,1,0
2024-08-03,WH-EAST,PRD-0020,18,0,1,0
2024-08-04,WH-EAST,PRD-0020,26,0,1,0
2024-08-05,WH-EAST,PRD-0020,20,0,1,0
2024-08-06,WH-EAST,PRD-0020,23,0,1,0
2024-08-07,WH-EAST,PRD-0020,28,0,1,0
2024-08-08,WH-EAST,PRD-0020,29,0,1,0
2024-08-09,WH-EAST,PRD-0020,21,0,1,0
2024-08-10,WH-EAST,PRD-0020,30,0,1,0
2024-08-11,WH-EAST,PRD-0020,22,0,1,0
2024-08-12,WH-EAST,PRD-0020,17,0,1,0
2024-08-13,WH-EAST,PRD-0020,18,0,1,0
2024-08-14,WH-EAST,PRD-0020,13,0,1,0
2024-08-15,WH-EAST,PRD-0020,17,0,1,0
2024-08-16,WH-EAST,PRD-0020,20,0,1,0
2024-08-17,WH-EAST,PRD-0020,26,0,1,0
2024-08-18,WH-EAST,PRD-0020,32,32,0,454
2024-08-19,WH-EAST,PRD-0020,14,14,0,440
2024-08-20,WH-EAST,PRD-0020,24,24,0,416
2024-08-21,WH-EAST,PRD-0020,16,16,0,400
2024-08-22,WH-EAST,PRD-0020,24,24,0,376
2024-08-23,WH-EAST,PRD-0020,21,21,0,355
2024-08-24,WH-EAST,PRD-0020,11,11,0,344
2024-08-25,WH-EAST,PRD-0020,27,27,0,317
2024-08-26,WH-EAST,PRD-0020,18,18,0,299
2024-08-27,WH-EAST,PRD-0020,19,19,0,280
2024-08-28,WH-EAST,PRD-0020,15,15,0,265
2024-08-29,WH-EAST,PRD-0020,18,18,0,247
2024-08-30,WH-EAST,PRD-0020,24,24,0,223
2024-08-31,WH-EAST,PRD-0020,21,21,0,202
2024-09-01,WH-EAST,PRD-0020,24,24,0,178
2024-09-02,WH-EAST,PRD-0020,24,24,0,154
2024-09-03,WH-EAST,PRD-0020,29,29,0,125
2024-09-04,WH-EAST,PRD-0020,28,28,0,97
2024-09-05,WH-EAST,PRD-0020,20,20,0,77
2024-09-06,WH-EAST,PRD-0020,28,28,0,49
2024-09-07,WH-EAST,PRD-0020,24,24,0,25
2024-09-08,WH-EAST,PRD-0020,21,21,0,4
2024-09-09,WH-EAST,PRD-0020,24,4,1,0
2024-09-10,WH-EAST,PRD-0020,33,0,1,0
2024-09-11,WH-EAST,PRD-0020,34,0,1,0
2024-09-12,WH-EAST,PRD-0020,22,0,1,0
2024-09-13,WH-EAST,PRD-0020,23,0,1,0
2024-09-14,WH-EAST,PRD-0020,28,0,1,0
2024-09-15,WH-EAST,PRD-0020,17,0,1,0
2024-09-16,WH-EAST,PRD-0020,24,0,1,0
2024-09-17,WH-EAST,PRD-0020,22,0,1,0
2024-09-18,WH-EAST,PRD-0020,24,0,1,0
2024-09-19,WH-EAST,PRD-0020,17,0,1,0
2024-09-20,WH-EAST,PRD-0020,12,0,1,0
2024-09-21,WH-EAST,PRD-0020,10,0,1,0
2024-09-22,WH-EAST,PRD-0020,15,0,1,0
2024-09-23,WH-EAST,PRD-0020,19,0,1,0
2024-09-24,WH-EAST,PRD-0020,20,0,1,0
2024-09-25,WH-EAST,PRD-0020,33,0,1,0
2024-09-26,WH-EAST,PRD-0020,28,0,1,0
2024-09-27,WH-EAST,PRD-0020,16,0,1,0
2024-09-28,WH-EAST,PRD-0020,24,0,1,0
2024-09-29,WH-EAST,PRD-0020,19,19,0,467
2024-09-30,WH-EAST,PRD-0020,20,20,0,447
2024-10-01,WH-EAST,PRD-0020,18,18,0,429
2024-10-02,WH-EAST,PRD-0020,20,20,0,409
2024-10-03,WH-EAST,PRD-0020,15,15,0,394
2024-10-04,WH-EAST,PRD-0020,23,23,0,371
2024-10-05,WH-EAST,PRD-0020,10,10,0,361
2024-10-06,WH-EAST,PRD-0020,17,17,0,344
2024-10-07,WH-EAST,PRD-0020,32,32,0,312
2024-10-08,WH-EAST,PRD-0020,18,18,0,294
2024-10-09,WH-EAST,PRD-0020,25,25,0,269
2024-10-10,WH-EAST,PRD-0020,17,17,0,252
2024-10-11,WH-EAST,PRD-0020,20,20,0,232
2024-10-12,WH-EAST,PRD-0020,16,16,0,216
2024-10-13,WH-EAST,PRD-0020,16,16,0,200
2024-10-14,WH-EAST,PRD-0020,12,12,0,188
2024-10-15,WH-EAST,PRD-0020,19,19,0,169
2024-10-16,WH-EAST,PRD-0020,12,12,0,157
2024-10-17,WH-EAST,PRD-0020,21,21,0,136
2024-10-18,WH-EAST,PRD-0020,23,23,0,113
2024-10-19,WH-EAST,PRD-0020,15,15,0,98
2024-10-20,WH-EAST,PRD-0020,19,19,0,79
2024-10-21,WH-EAST,PRD-0020,15,15,0,64
2024-10-22,WH-EAST,PRD-0020,22,22,0,42
2024-10-23,WH-EAST,PRD-0020,6,6,0,36
2024-10-24,WH-EAST,PRD-0020,15,15,0,21
2024-10-25,WH-EAST,PRD-0020,5,5,0,16
2024-10-26,WH-EAST,PRD-0020,8,8,0,8
2024-10-27,WH-EAST,PRD-0020,25,8,1,0
2024-10-28,WH-EAST,PRD-0020,22,0,1,0
2024-10-29,WH-EAST,PRD-0020,12,0,1,0
2024-10-30,WH-EAST,PRD-0020,8,0,1,0
2024-10-31,WH-EAST,PRD-0020,0,0,0,0
2024-11-01,WH-EAST,PRD-0020,24,0,1,0
2024-11-02,WH-EAST,PRD-0020,41,0,1,0
2024-11-03,WH-EAST,PRD-0020,29,0,1,0
2024-11-04,WH-EAST,PRD-0020,23,0,1,0
2024-11-05,WH-EAST,PRD-0020,29,0,1,0
2024-11-06,WH-EAST,PRD-0020,18,0,1,0
2024-11-07,WH-EAST,PRD-0020,25,0,1,0
2024-11-08,WH-EAST,PRD-0020,27,0,1,0
2024-11-09,WH-EAST,PRD-0020,26,0,1,0
2024-11-10,WH-EAST,PRD-0020,31,0,1,0
2024-11-11,WH-EAST,PRD-0020,29,0,1,0
2024-11-12,WH-EAST,PRD-0020,31,0,1,0
2024-11-13,WH-EAST,PRD-0020,23,23,0,463
2024-11-14,WH-EAST,PRD-0020,32,32,0,431
2024-11-15,WH-EAST,PRD-0020,36,36,0,395
2024-11-16,WH-EAST,PRD-0020,21,21,0,374
2024-11-17,WH-EAST,PRD-0020,22,22,0,352
2024-11-18,WH-EAST,PRD-0020,35,35,0,317
2024-11-19,WH-EAST,PRD-0020,26,26,0,291
2024-11-20,WH-EAST,PRD-0020,40,40,0,251
2024-11-21,WH-EAST,PRD-0020,29,29,0,222
2024-11-22,WH-EAST,PRD-0020,40,40,0,182
2024-11-23,WH-EAST,PRD-0020,32,32,0,150
2024-11-24,WH-EAST,PRD-0020,33,33,0,117
2024-11-25,WH-EAST,PRD-0020,26,26,0,91
2024-11-26,WH-EAST,PRD-0020,29,29,0,62
2024-11-27,WH-EAST,PRD-0020,34,34,0,28
2024-11-28,WH-EAST,PRD-0020,23,23,0,5
2024-11-29,WH-EAST,PRD-0020,35,5,1,0
2024-11-30,WH-EAST,PRD-0020,29,0,1,0
2024-12-01,WH-EAST,PRD-0020,45,0,1,0
2024-12-02,WH-EAST,PRD-0020,24,0,1,0
2024-12-03,WH-EAST,PRD-0020,34,0,1,0
2024-12-04,WH-EAST,PRD-0020,29,0,1,0
2024-12-05,WH-EAST,PRD-0020,34,0,1,0
2024-12-06,WH-EAST,PRD-0020,40,0,1,0
2024-12-07,WH-EAST,PRD-0020,37,0,1,0
2024-12-08,WH-EAST,PRD-0020,37,0,1,0
2024-12-09,WH-EAST,PRD-0020,37,0,1,0
2024-12-10,WH-EAST,PRD-0020,40,0,1,0
2024-12-11,WH-EAST,PRD-0020,33,0,1,0
2024-12-12,WH-EAST,PRD-0020,43,0,1,0
2024-12-13,WH-EAST,PRD-0020,42,0,1,0
2024-12-14,WH-EAST,PRD-0020,41,0,1,0
2024-12-15,WH-EAST,PRD-0020,42,0,1,0
2024-12-16,WH-EAST,PRD-0020,40,0,1,0
2024-12-17,WH-EAST,PRD-0020,50,0,1,0
2024-12-18,WH-EAST,PRD-0020,38,0,1,0
2024-12-19,WH-EAST,PRD-0020,37,0,1,0
2024-12-20,WH-EAST,PRD-0020,34,0,1,0
2024-12-21,WH-EAST,PRD-0020,32,0,1,0
2024-12-22,WH-EAST,PRD-0020,31,31,0,455
2024-12-23,WH-EAST,PRD-0020,33,33,0,422
2024-12-24,WH-EAST,PRD-0020,38,38,0,384
2024-12-25,WH-EAST,PRD-0020,40,40,0,344
2024-12-26,WH-EAST,PRD-0020,27,27,0,317
2024-12-27,WH-EAST,PRD-0020,22,22,0,295
2024-12-28,WH-EAST,PRD-0020,32,32,0,263
2024-12-29,WH-EAST,PRD-0020,31,31,0,232
2024-12-30,WH-EAST,PRD-0020,26,26,0,206
2024-12-31,WH-EAST,PRD-0020,23,23,0,183
2025-01-01,WH-EAST,PRD-0020,20,20,0,163
2025-01-02,WH-EAST,PRD-0020,18,18,0,145
2025-01-03,WH-EAST,PRD-0020,8,8,0,137
2025-01-04,WH-EAST,PRD-0020,16,16,0,121
2025-01-05,WH-EAST,PRD-0020,11,11,0,110
2025-01-06,WH-EAST,PRD-0020,18,18,0,92
2025-01-07,WH-EAST,PRD-0020,8,8,0,84
2025-01-08,WH-EAST,PRD-0020,25,25,0,59
2025-01-09,WH-EAST,PRD-0020,24,24,0,35
2025-01-10,WH-EAST,PRD-0020,15,15,0,20
2025-01-11,WH-EAST,PRD-0020,19,19,0,1
2025-01-12,WH-EAST,PRD-0020,3,1,1,0
2025-01-13,WH-EAST,PRD-0020,10,0,1,0
2025-01-14,WH-EAST,PRD-0020,15,0,1,0
2025-01-15,WH-EAST,PRD-0020,10,0,1,0
2025-01-16,WH-EAST,PRD-0020,21,0,1,0
2025-01-17,WH-EAST,PRD-0020,28,0,1,0
2025-01-18,WH-EAST,PRD-0020,10,0,1,0
2025-01-19,WH-EAST,PRD-0020,12,0,1,0
2025-01-20,WH-EAST,PRD-0020,18,0,1,0
2025-01-21,WH-EAST,PRD-0020,26,0,1,0
2025-01-22,WH-EAST,PRD-0020,10,0,1,0
2025-01-23,WH-EAST,PRD-0020,18,0,1,0
2025-01-24,WH-EAST,PRD-0020,27,0,1,0
2025-01-25,WH-EAST,PRD-0020,7,0,1,0
2025-01-26,WH-EAST,PRD-0020,9,0,1,0
2025-01-27,WH-EAST,PRD-0020,14,0,1,0
2025-01-28,WH-EAST,PRD-0020,14,14,0,472
2025-01-29,WH-EAST,PRD-0020,21,21,0,451
2025-01-30,WH-EAST,PRD-0020,18,18,0,433
2025-01-31,WH-EAST,PRD-0020,6,6,0,427
2025-02-01,WH-EAST,PRD-0020,16,16,0,411
2025-02-02,WH-EAST,PRD-0020,10,10,0,401
2025-02-03,WH-EAST,PRD-0020,21,21,0,380
2025-02-04,WH-EAST,PRD-0020,10,10,0,370
2025-02-05,WH-EAST,PRD-0020,10,10,0,360
2025-02-06,WH-EAST,PRD-0020,17,17,0,343
2025-02-07,WH-EAST,PRD-0020,18,18,0,325
2025-02-08,WH-EAST,PRD-0020,16,16,0,309
2025-02-09,WH-EAST,PRD-0020,4,4,0,305
2025-02-10,WH-EAST,PRD-0020,17,17,0,288
2025-02-11,WH-EAST,PRD-0020,7,7,0,281
2025-02-12,WH-EAST,PRD-0020,15,15,0,266
2025-02-13,WH-EAST,PRD-0020,5,5,0,261
2025-02-14,WH-EAST,PRD-0020,16,16,0,245
2025-02-15,WH-EAST,PRD-0020,9,9,0,236
2025-02-16,WH-EAST,PRD-0020,6,6,0,230
2025-02-17,WH-EAST,PRD-0020,18,18,0,212
2025-02-18,WH-EAST,PRD-0020,15,15,0,197
2025-02-19,WH-EAST,PRD-0020,10,10,0,187
2025-02-20,WH-EAST,PRD-0020,22,22,0,165
2025-02-21,WH-EAST,PRD-0020,11,11,0,154
2025-02-22,WH-EAST,PRD-0020,14,14,0,140
2025-02-23,WH-EAST,PRD-0020,15,15,0,125
2025-02-24,WH-EAST,PRD-0020,10,10,0,115
2025-02-25,WH-EAST,PRD-0020,11,11,0,104
2025-02-26,WH-EAST,PRD-0020,21,21,0,83
2025-02-27,WH-EAST,PRD-0020,7,7,0,76
2025-02-28,WH-EAST,PRD-0020,0,0,0,76
2025-03-01,WH-EAST,PRD-0020,26,26,0,50
2025-03-02,WH-EAST,PRD-0020,32,32,0,18
2025-03-03,WH-EAST,PRD-0020,14,14,0,4
2025-03-04,WH-EAST,PRD-0020,5,4,1,0
2025-03-05,WH-EAST,PRD-0020,15,0,1,0
2025-03-06,WH-EAST,PRD-0020,15,0,1,0
2025-03-07,WH-EAST,PRD-0020,16,0,1,0
2025-03-08,WH-EAST,PRD-0020,10,0,1,0
2025-03-09,WH-EAST,PRD-0020,20,0,1,0
2025-03-10,WH-EAST,PRD-0020,20,0,1,0
2025-03-11,WH-EAST,PRD-0020,8,0,1,0
2025-03-12,WH-EAST,PRD-0020,21,0,1,0
2025-03-13,WH-EAST,PRD-0020,29,0,1,0
2025-03-14,WH-EAST,PRD-0020,18,0,1,0
2025-03-15,WH-EAST,PRD-0020,15,0,1,0
2025-03-16,WH-EAST,PRD-0020,16,0,1,0
2025-03-17,WH-EAST,PRD-0020,20,0,1,0
2025-03-18,WH-EAST,PRD-0020,7,0,1,0
2025-03-19,WH-EAST,PRD-0020,18,0,1,0
2025-03-20,WH-EAST,PRD-0020,14,0,1,0
2025-03-21,WH-EAST,PRD-0020,28,28,0,458
2025-03-22,WH-EAST,PRD-0020,16,16,0,442
2025-03-23,WH-EAST,PRD-0020,26,26,0,416
2025-03-24,WH-EAST,PRD-0020,10,10,0,406
2025-03-25,WH-EAST,PRD-0020,20,20,0,386
2025-03-26,WH-EAST,PRD-0020,19,19,0,367
2025-03-27,WH-EAST,PRD-0020,12,12,0,355
2025-03-28,WH-EAST,PRD-0020,18,18,0,337
2025-03-29,WH-EAST,PRD-0020,24,24,0,313
2025-03-30,WH-EAST,PRD-0020,15,15,0,298
2025-03-31,WH-EAST,PRD-0020,7,7,0,291
2025-04-01,WH-EAST,PRD-0020,17,17,0,274
2025-04-02,WH-EAST,PRD-0020,11,11,0,263
2025-04-03,WH-EAST,PRD-0020,15,15,0,248
2025-04-04,WH-EAST,PRD-0020,16,16,0,232
2025-04-05,WH-EAST,PRD-0020,7,7,0,225
2025-04-06,WH-EAST,PRD-0020,7,7,0,218
2025-04-07,WH-EAST,PRD-0020,20,20,0,198
2025-04-08,WH-EAST,PRD-0020,14,14,0,184
2025-04-09,WH-EAST,PRD-0020,2,2,0,182
2025-04-10,WH-EAST,PRD-0020,21,21,0,161
2025-04-11,WH-EAST,PRD-0020,18,18,0,143
2025-04-12,WH-EAST,PRD-0020,13,13,0,130
2025-04-13,WH-EAST,PRD-0020,22,22,0,108
2025-04-14,WH-EAST,PRD-0020,19,19,0,89
2025-04-15,WH-EAST,PRD-0020,31,31,0,58
2025-04-16,WH-EAST,PRD-0020,19,19,0,39
2025-04-17,WH-EAST,PRD-0020,19,19,0,20
2025-04-18,WH-EAST,PRD-0020,16,16,0,4
2025-04-19,WH-EAST,PRD-0020,21,4,1,0
2025-04-20,WH-EAST,PRD-0020,20,0,1,0
2025-04-21,WH-EAST,PRD-0020,24,0,1,0
2025-04-22,WH-EAST,PRD-0020,14,0,1,0
2025-04-23,WH-EAST,PRD-0020,14,0,1,0
